name,distance,distance_mi,moving_time,elapsed_time,total_elevation_gain,elevation_gain_ft,type,start_date,trainer,manual,gear_id,average_speed,avg_speed_mph,max_speed,max_speed_mph,average_cadence,average_watts,average_heartrate,max_heartrate,max_watts,average_temp
NYC - BLAH,21324.6,13.25049213,2719,2719,361,1184.38324,VirtualRide,2019-01-16T21:31:24Z,FALSE,FALSE,b1477130,7.843,17.54432042,19.8,44.291412,76.1,206.1,148.4,171,442,
20x1:00x20x7+1,0,0,120,120,0,0,Workout,2019-01-16T17:18:31Z,FALSE,TRUE,,0,0,0,0,,,,,,
Tour de Zwift - Stage 5 (B),33132.6,20.58764316,3289,3289,262,859.58008,VirtualRide,2019-01-15T21:02:22Z,FALSE,FALSE,b1477130,10.074,22.53493356,20.2,45.186188,76.6,228.3,168.4,182,556,
NYC,3149,1.956697884,421,546,28,91.86352,VirtualRide,2019-01-15T20:50:38Z,FALSE,FALSE,b1477130,7.48,16.7323112,16,35.79104,84.5,161.9,122.9,153,572,
20x1:00x20x6+1,0,0,120,120,0,0,Workout,2019-01-15T18:30:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
20x1:00x20+1,0,0,120,120,0,0,Workout,2019-01-14T13:13:36Z,FALSE,TRUE,,0,0,0,0,,,,,,
Dunedin: Sunday funday run,5015,3.116176529,1622,1622,9.3,30.511812,Run,2019-01-13T16:04:52Z,FALSE,FALSE,g2495690,3.092,6.91661848,4.6,10.289924,,,,,,
Watopia,15729.2,9.773671757,1812,1812,74,242.78216,VirtualRide,2019-01-13T15:28:40Z,FALSE,FALSE,b1477130,8.681,19.41887614,14,31.31716,96,127.4,121.7,130,263,
20x1:00x20x6+1,0,0,120,120,0,0,Workout,2019-01-13T12:50:49Z,FALSE,TRUE,,0,0,0,0,,,,,,
RDB: First Chainwheel ride.,99883,62.06441879,10979,13420,144,472.44096,Ride,2019-01-12T12:32:56Z,FALSE,FALSE,b1477130,9.098,20.35168012,15.8,35.343652,,306.7,152.5,172,,19
15x:45x10x6+1,0,0,120,120,0,0,Workout,2019-01-12T11:35:05Z,FALSE,TRUE,,0,0,0,0,,,,,,
"FTB: Pinellas cruise with Mike, Joy, and Jill",17800,11.06040722,5013,5999,40,131.2336,Ride,2019-01-11T16:20:17Z,FALSE,FALSE,b2653090,3.551,7.94337394,8.4,18.790296,,114.1,89.8,124,,22
15x:30x15x6+1,0,0,120,120,0,0,Workout,2019-01-11T11:59:46Z,FALSE,TRUE,,0,0,0,0,,,,,,
DIRT Happy Hour Ride (C),27536.5,17.11038784,2572,2597,140,459.3176,VirtualRide,2019-01-10T23:30:25Z,FALSE,FALSE,b1477130,10.706,23.94867964,17.6,39.370144,80.8,208.7,160.3,170,424,
RuhrRiders Gruppenfahrt 2.5 Ride (C),41545.6,25.815239,4060,4060,286,938.32024,VirtualRide,2019-01-10T17:55:26Z,FALSE,FALSE,b1477130,10.233,22.89060702,15.8,35.343652,89,209.6,151.5,176,529,
London,2322.9,1.443383142,423,461,38,124.67192,VirtualRide,2019-01-10T17:45:35Z,FALSE,FALSE,b1477130,5.491,12.28303754,15.1,33.777794,89.7,150.7,119.9,130,223,
20x:30x10x5+1,0,0,120,120,0,0,Workout,2019-01-10T15:37:47Z,FALSE,TRUE,,0,0,0,0,,,,,,
London 5x5,23654.2,14.69803846,3600,3617,549,1801.18116,VirtualRide,2019-01-09T18:47:26Z,FALSE,FALSE,b1477130,6.571,14.69893274,21.2,47.423128,76,211.9,153,180,471,
15x:30x10x5+1,0,0,120,120,0,0,Workout,2019-01-09T12:00:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
Dunedin: brick,3196,1.98590233,1100,1108,10,32.8084,Run,2019-01-08T22:13:30Z,FALSE,FALSE,g3154106,2.905,6.4983107,5.6,12.526864,,,144.4,156,,21
FTB: Hammock and Pinellas,20403,12.67783644,3609,3609,66,216.53544,Ride,2019-01-08T21:06:41Z,FALSE,FALSE,b2653090,5.653,12.64542182,9.6,21.474624,,213.5,138.4,151,,20
10x:15x10x5+1,0,0,120,120,0,0,Workout,2019-01-08T11:10:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
10x:30x5x5+1,0,0,120,120,0,0,Workout,2019-01-07T12:30:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
Tour de Zwift - Stage 2 (A),18459.5,11.47020152,1817,1837,298,977.69032,VirtualRide,2019-01-06T22:01:41Z,FALSE,FALSE,b1477130,10.159,22.72507346,23.1,51.673314,79.5,241,159.4,171,405,
15x:30x10x5+1,0,0,120,120,0,0,Workout,2019-01-06T15:57:27Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFD: cobbled a 1HR PR,40233.7,25.00006214,4320,4320,0,0,Ride,2019-01-06T14:15:09Z,FALSE,TRUE,b534975,9.313,20.83262222,0,0,,,,,,
CXB: never again with that...that...person.,68731,42.70746341,9100,10271,155,508.5302,Ride,2019-01-05T13:05:05Z,FALSE,FALSE,b1477130,7.553,16.89560782,13.2,29.527608,81.9,205.7,142.2,172,859,19
10x:30x5x5,0,0,120,120,0,0,Workout,2019-01-05T13:02:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFD: almost a legit swim workout,1737.4,1.079570309,1800,1800,0,0,Swim,2019-01-04T21:13:49Z,FALSE,TRUE,,0.965,2.1586471,0,0,,,,,,
Dunedin: walk back,1615,1.003514475,887,887,8,26.24672,Walk,2019-01-04T17:08:29Z,FALSE,FALSE,g3154106,1.821,4.07346774,2.7,6.039738,60,,,,,
Dunedin: trail hopping,4993,3.102506363,1682,1682,3.4,11.154856,Run,2019-01-04T16:40:11Z,FALSE,FALSE,g3154106,2.968,6.63923792,3.8,8.500372,81.5,,,,,
10x:30x5x5+1,0,0,120,120,0,0,Workout,2019-01-04T12:26:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
MTB: recovery in the Pinellas,29248,18.17386463,4066,4327,41,134.51444,Ride,2019-01-03T20:31:08Z,FALSE,FALSE,b575984,7.193,16.09030942,10.2,22.816788,,256.8,125.4,146,,25
Tour de Zwift - Stage 1 (B),28570.3,17.75276137,2958,2988,284,931.75856,VirtualRide,2019-01-03T11:02:20Z,FALSE,FALSE,b1477130,9.659,21.60660346,18,40.26492,74.8,188.2,158.6,174,405,
Watopia,3281.5,2.039029567,343,343,4,13.12336,VirtualRide,2019-01-03T10:54:17Z,FALSE,FALSE,b1477130,9.567,21.40080498,12.4,27.738056,73.1,144.8,110.2,120,190,
10x:30x10+1,0,0,120,120,0,0,Workout,2019-01-03T10:44:08Z,FALSE,TRUE,,0,0,0,0,,,,,,
Tempo with 30sec spike #1,14176.9,8.809117255,2128,2170,48,157.48032,VirtualRide,2019-01-02T21:10:10Z,FALSE,FALSE,b1477130,6.662,14.90249428,10.6,23.711564,81.2,219.2,157.6,179,676,
London,2800.8,1.740336435,602,602,76,249.34384,VirtualRide,2019-01-02T20:58:25Z,FALSE,FALSE,b1477130,4.652,10.40624488,15.3,34.225182,79,167.5,119.8,133,223,
10x:30x10+1,0,0,120,120,0,0,Workout,2019-01-02T17:46:43Z,FALSE,TRUE,,0,0,0,0,,,,,,
Dunedin: more Hammock,1731,1.075593534,548,548,3.9,12.795276,Run,2019-01-02T17:15:33Z,FALSE,FALSE,g3154106,3.159,7.06649346,4,8.94776,83.4,,,,,
FTB: exploring Hammock Park,13594,8.446919987,3633,3749,40,131.2336,Ride,2019-01-02T16:07:27Z,FALSE,FALSE,b1477130,3.742,8.37062948,10,22.3694,,125.8,,,,26
CXB: Jan 1st ride because Strava keep duplicating this on Jan 1 2018,68735.1,42.71001104,9768,9768,0,0,Ride,2019-01-02T11:40:00Z,FALSE,TRUE,b1477130,7.037,15.74134678,0,0,,,,,,
5x5x5+1,0,0,120,120,0,0,Workout,2019-01-01T13:30:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
FTB: Mike ride,6805.6,4.228803786,1524,1735,20.4,66.929136,Ride,2018-12-31T19:14:11Z,FALSE,FALSE,b2653090,4.466,9.99017404,8,17.89552,,122.3,,,,
Our pool: short swim,274.3,0.170442118,495,495,0,0,Swim,2018-12-31T17:43:42Z,FALSE,TRUE,,0.554,1.23926476,0,0,,,,,,
